axis,model_variant,held_fixed,fit_form,n_points,range,exponent,exponent_se,r2,prefactor_s,offset_s,verdict
N,trimmed,L=5,power_law,5,N=10..200,0.9378131436360455,0.017616632371708314,0.998942513325022,1.1675188346097207,0.0,sub-linear (6% below linear)
N,trimmed,L=5,offset_power_law,5,N=10..200,1.0216272089650937,0.006040274096043695,,0.7640642842563561,2.4985636176233843,super-linear (2% above linear)
N,trimmed,L=10,power_law,5,N=10..200,0.9512451910363264,0.018203262654026723,0.9989026177567256,2.2182354765783443,0.0,sub-linear (5% below linear)
N,trimmed,L=10,offset_power_law,5,N=10..200,1.0615560159884978,0.011339204162991027,,1.2645052625822153,6.696333402121323,super-linear (6% above linear)
N,trimmed,L=20,power_law,5,N=10..200,0.95318897566334,0.014931520770167007,0.999264383051632,4.304169276671279,0.0,sub-linear (5% below linear)
N,trimmed,L=20,offset_power_law,5,N=10..200,1.0147643327518237,0.010135418430864936,,3.1594192865630606,6.899590694656855,linear (within 2 se)
N,trimmed,L=30,power_law,5,N=10..200,0.9674176860871834,0.01998498420238013,0.9987213691750151,6.149141794368634,0.0,linear (within 2 se)
N,trimmed,L=30,offset_power_law,5,N=10..200,1.093052281636152,0.016643770486979927,,3.243849043141313,21.92328896765128,super-linear (9% above linear)
L,trimmed,N=1,power_law,4,L=5..30,0.8614142486471666,0.02866488700850609,0.9977902374342016,0.6699266661110311,0.0,sub-linear (14% below linear)
L,trimmed,N=1,offset_power_law,4,L=5..30,1.083340547506978,0.03251304844151961,,0.2971251071387609,1.068533031702641,super-linear (8% above linear)
L,trimmed,N=10,power_law,4,L=5..30,0.9647671530951111,0.002292313771501246,0.9999887091093498,2.230964030262551,0.0,sub-linear (4% below linear)
L,trimmed,N=10,offset_power_law,4,L=5..30,0.9789422444686778,0.016713653889758703,,2.116508417026868,0.35032396716796077,linear (within 2 se)
L,trimmed,N=20,power_law,4,L=5..30,0.976673211063071,0.0043493757913185445,0.9999603385959233,3.9410717993205138,0.0,sub-linear (2% below linear)
L,trimmed,N=20,offset_power_law,4,L=5..30,0.9804024903218974,0.024772158691876385,,3.8817652326373837,0.2327225204225472,linear (within 2 se)
L,trimmed,N=50,power_law,4,L=5..30,0.9896586354971582,0.004885541285802521,0.9999512624866687,8.936010453026427,0.0,sub-linear (1% below linear)
L,trimmed,N=50,offset_power_law,4,L=5..30,0.997852592861799,0.029352952949675805,,8.657846226228123,0.9993434472850762,linear (within 2 se)
L,trimmed,N=100,power_law,4,L=5..30,0.9937862502786171,0.0017007101800281669,0.9999941426374378,17.614901960852592,0.0,sub-linear (1% below linear)
L,trimmed,N=100,offset_power_law,4,L=5..30,0.990737116130902,0.013686361143479589,,17.775253387739127,3.0423082544240943e-20,linear (within 2 se)
L,trimmed,N=200,power_law,4,L=5..30,1.0116352980873746,0.01826334640010056,0.9993485819917471,34.23923179967092,0.0,linear (within 2 se)
L,trimmed,N=200,offset_power_law,4,L=5..30,1.1248186791308294,0.12753232817185509,,22.661559089208307,41.79702018882869,linear (within 2 se)
