experiment,preset,formulation,model_variant,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,19,a463.anvil.rcac.purdue.edu,19,2,warm,2.863,401.0,212548.2,True,-0.25,34.996429,-0.25,1784091366.8,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,20,a463.anvil.rcac.purdue.edu,20,0,cold,4.777,391.9,213199.9,True,-0.25,34.996429,-0.25,1784091360.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,20,a463.anvil.rcac.purdue.edu,20,1,warm,2.82,399.1,212797.7,True,-0.25,34.996429,-0.25,1784091365.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,20,a463.anvil.rcac.purdue.edu,20,2,warm,2.908,399.2,210663.4,True,-0.25,34.996429,-0.25,1784091367.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,21,a463.anvil.rcac.purdue.edu,21,0,cold,4.782,391.0,213056.4,True,-0.25,34.996429,-0.25,1784091361.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,21,a463.anvil.rcac.purdue.edu,21,1,warm,2.835,398.9,212655.6,True,-0.25,34.996429,-0.25,1784091366.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,21,a463.anvil.rcac.purdue.edu,21,2,warm,2.884,398.9,207384.0,True,-0.25,34.996429,-0.25,1784091369.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,22,a463.anvil.rcac.purdue.edu,22,0,cold,4.832,397.7,212910.8,True,-0.25,34.996429,-0.25,1784091362.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,22,a463.anvil.rcac.purdue.edu,22,1,warm,2.785,404.8,212514.4,True,-0.25,34.996429,-0.25,1784091367.2,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,22,a463.anvil.rcac.purdue.edu,22,2,warm,2.939,404.9,203965.3,True,-0.25,34.996429,-0.25,1784091369.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,23,a463.anvil.rcac.purdue.edu,23,0,cold,4.842,392.3,212769.8,True,-0.25,34.996429,-0.25,1784091363.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,23,a463.anvil.rcac.purdue.edu,23,1,warm,2.791,399.4,210226.0,True,-0.25,34.996429,-0.25,1784091368.2,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,23,a463.anvil.rcac.purdue.edu,23,2,warm,2.952,399.5,201000.8,True,-0.25,34.996429,-0.25,1784091371.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,24,a463.anvil.rcac.purdue.edu,24,0,cold,4.764,394.6,212638.1,True,-0.25,34.996429,-0.25,1784091364.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,24,a463.anvil.rcac.purdue.edu,24,1,warm,2.772,402.1,207338.1,True,-0.25,34.996429,-0.25,1784091369.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,24,a463.anvil.rcac.purdue.edu,24,2,warm,2.944,402.2,200104.6,True,-0.25,34.996429,-0.25,1784091371.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,25,a463.anvil.rcac.purdue.edu,25,0,cold,4.672,392.2,212507.0,True,-0.25,34.996429,-0.25,1784091365.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,25,a463.anvil.rcac.purdue.edu,25,1,warm,2.862,399.8,204269.3,True,-0.25,34.996429,-0.25,1784091370.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,25,a463.anvil.rcac.purdue.edu,25,2,warm,2.933,399.9,199346.7,True,-0.25,34.996429,-0.25,1784091372.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,26,a463.anvil.rcac.purdue.edu,26,0,cold,4.662,394.0,210060.3,True,-0.25,34.996429,-0.25,1784091366.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,26,a463.anvil.rcac.purdue.edu,26,1,warm,2.859,401.5,201047.2,True,-0.25,34.996429,-0.25,1784091371.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,26,a463.anvil.rcac.purdue.edu,26,2,warm,2.924,401.5,199336.3,True,-0.25,34.996429,-0.25,1784091373.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,27,a463.anvil.rcac.purdue.edu,27,0,cold,4.721,393.7,206491.0,True,-0.25,34.996429,-0.25,1784091367.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,27,a463.anvil.rcac.purdue.edu,27,1,warm,2.873,400.8,199955.7,True,-0.25,34.996429,-0.25,1784091372.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,27,a463.anvil.rcac.purdue.edu,27,2,warm,2.896,400.9,199179.0,True,-0.25,34.996429,-0.25,1784091374.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,28,a463.anvil.rcac.purdue.edu,28,0,cold,4.861,394.5,202435.7,True,-0.25,34.996429,-0.25,1784091368.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,28,a463.anvil.rcac.purdue.edu,28,1,warm,2.846,401.6,199346.2,True,-0.25,34.996429,-0.25,1784091373.2,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,28,a463.anvil.rcac.purdue.edu,28,2,warm,2.914,401.6,198652.1,True,-0.25,34.996429,-0.25,1784091376.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,29,a463.anvil.rcac.purdue.edu,29,0,cold,5.058,392.0,200346.0,True,-0.25,34.996429,-0.25,1784091369.3,19211035,fba0f7d
