m_set,m,n,selector,seed,tail_share_min,tail_share_mean,ks_mean,L2_star_abs
m4,4,300,random,16,0.08666666666666667,0.095,0.4163464450998303,0.28978696620692335
m4,4,300,random,17,0.08333333333333333,0.09333333333333332,0.42764184750192313,0.3041657869469771
m4,4,300,random,18,0.07,0.08916666666666666,0.4211433422081041,0.3043402858027777
m4,4,300,random,19,0.09333333333333334,0.10666666666666666,0.4072661309290757,0.2852343590450242
m4,4,300,random,20,0.09,0.09916666666666668,0.4016733056122708,0.2790127849234806
m4,4,300,random,21,0.07666666666666666,0.10083333333333333,0.4247180998957021,0.2924570435437611
m4,4,300,random,22,0.07333333333333333,0.1025,0.4195441757453058,0.28382586289287437
m4,4,300,random,23,0.08,0.10083333333333334,0.42134839092786774,0.29445949146068945
m4,4,300,random,24,0.08666666666666667,0.09666666666666668,0.43833462886715346,0.298218252874813
m4,4,300,random,25,0.09333333333333334,0.09583333333333333,0.42405062524084236,0.29902060036729616
m4,4,300,random,26,0.09333333333333334,0.10166666666666667,0.4050484044523407,0.2855105880302362
m4,4,300,random,27,0.07666666666666666,0.09666666666666666,0.4168866677109661,0.2891444660870256
m4,4,300,random,28,0.09,0.10666666666666666,0.4105134117024176,0.2886380178031593
m4,4,300,random,29,0.07333333333333333,0.10333333333333333,0.42340955394855506,0.2937476542946999
m4,4,300,random,30,0.08666666666666667,0.09916666666666667,0.4114273176695348,0.2887186115605764
m4,4,300,random,31,0.09,0.10333333333333333,0.42505448321580974,0.30191892559684913
m4,4,300,random,32,0.08,0.09583333333333333,0.4204400148866094,0.295634810906711
m4,4,300,random,33,0.07333333333333333,0.08166666666666667,0.4227884389336543,0.3043039197567115
m4,4,300,random,34,0.08666666666666667,0.1,0.4288269999359114,0.2937570177805496
m4,4,300,random,35,0.07666666666666666,0.0925,0.4252838977238876,0.3015368741385559
m4,4,300,random,36,0.07,0.0925,0.42447399341808434,0.2992272485882559
m4,4,300,random,37,0.07,0.08416666666666667,0.4236876523932984,0.298167792708188
m4,4,300,random,38,0.09,0.0975,0.4183009184679763,0.3006878023055822
m4,4,300,random,39,0.07333333333333333,0.09083333333333335,0.4160114082873341,0.3044550401142497
m4,4,300,random,40,0.08,0.10250000000000001,0.40824249056365836,0.2891676166448249
m4,4,300,random,41,0.08333333333333333,0.09083333333333332,0.4259339470512523,0.304022945878482
m4,4,300,random,42,0.09333333333333334,0.10833333333333334,0.4104631829819276,0.27937887739787626
m4,4,300,random,43,0.07666666666666666,0.09666666666666666,0.41353588699493476,0.29637006745913586
m4,4,300,random,44,0.07333333333333333,0.09583333333333334,0.41184653591970316,0.2783090704573662
m4,4,300,random,45,0.08333333333333333,0.1025,0.40999279676386613,0.287054882386772
m4,4,300,random,46,0.08333333333333333,0.09999999999999999,0.4054209656991569,0.2767940522391133
m4,4,300,random,47,0.08,0.10083333333333333,0.412533112055842,0.29113742758726635
m4,4,300,random,48,0.09,0.09833333333333333,0.41560319847073757,0.2916303560770832
m4,4,300,random,49,0.09666666666666666,0.10916666666666668,0.4198305389115846,0.29011892217102164
m6,6,100,lhs_nn,0,0.19,0.26666666666666666,0.19284097171596912,0.04489192584228007
m6,6,100,lhs_nn,1,0.21,0.285,0.19933409755466794,0.038515641507486056
m6,6,100,lhs_nn,2,0.18,0.285,0.20548102232850782,0.04728929865598977
m6,6,100,lhs_nn,3,0.19,0.27666666666666667,0.21036572485247299,0.04446861810001948
m6,6,100,lhs_nn,4,0.17,0.25666666666666665,0.20236400948351352,0.0470120242437103
m6,6,100,lhs_nn,5,0.19,0.27166666666666667,0.2044591185653493,0.045917390474262375
m6,6,100,lhs_nn,6,0.2,0.2816666666666667,0.20220427129005455,0.04477716782966485
m6,6,100,lhs_nn,7,0.2,0.2833333333333333,0.20443530694532633,0.045114876572247914
m6,6,100,lhs_nn,8,0.22,0.29,0.18525538654306162,0.03652373610595409
m6,6,100,lhs_nn,9,0.22,0.3016666666666667,0.19050467724542672,0.03936196749085276
m6,6,100,random,0,0.07,0.11666666666666668,0.38601018218843225,0.17981719255689357
m6,6,100,random,1,0.07,0.09999999999999999,0.3809922331275457,0.19605585593778943
m6,6,100,random,2,0.08,0.085,0.3970598117075095,0.18649745933178966
m6,6,100,random,3,0.08,0.12000000000000001,0.38350787181513996,0.1856504021572365
m6,6,100,random,4,0.04,0.085,0.41981347563296695,0.2082378823368741
m6,6,100,random,5,0.04,0.07166666666666667,0.3986307382247038,0.1986475837893649
m6,6,100,random,6,0.06,0.11,0.3804100949872871,0.190632663018877
m6,6,100,random,7,0.06,0.115,0.38165132595873325,0.1997714979874969
m6,6,100,random,8,0.08,0.11666666666666668,0.3706860716832216,0.173513314321414
m6,6,100,random,9,0.08,0.11,0.3711374433898509,0.17679899259134044
m6,6,100,random,10,0.09,0.11666666666666668,0.38641285829946265,0.19222757876766394
m6,6,100,random,11,0.07,0.12,0.36143193293172055,0.18367653335541578
m6,6,100,random,12,0.07,0.10166666666666667,0.38596058259584737,0.19434576629705785
m6,6,100,random,13,0.06,0.08,0.40809468741270005,0.20910698878520004
m6,6,100,random,14,0.07,0.11166666666666668,0.37515827035332117,0.18918921277293074
m6,6,100,random,15,0.06,0.09500000000000001,0.4080315784114252,0.20064307597615402
m6,6,100,random,16,0.05,0.07666666666666667,0.4436166102905464,0.23126556015466787
m6,6,100,random,17,0.08,0.11833333333333333,0.3846645758405564,0.1983473091823173
m6,6,100,random,18,0.06,0.09000000000000001,0.40308927292902336,0.20336920656139962
m6,6,100,random,19,0.08,0.10666666666666667,0.3847332386030769,0.18719817798299415
m6,6,100,random,20,0.05,0.10333333333333335,0.3909758275731205,0.18753759409169637
m6,6,100,random,21,0.07,0.09000000000000001,0.41816289091356085,0.21849936115275626
m6,6,100,random,22,0.05,0.09666666666666666,0.40420312817733883,0.19845029746177026
m6,6,100,random,23,0.09,0.10333333333333333,0.40324921740520087,0.19497768276085
m6,6,100,random,24,0.07,0.09999999999999999,0.3863556224690565,0.2057546947908132
m6,6,100,random,25,0.06,0.10666666666666669,0.37740844802084544,0.18056759976791728
m6,6,100,random,26,0.06,0.09833333333333333,0.3918281863106039,0.18738322850569844
m6,6,100,random,27,0.06,0.08833333333333333,0.38875193742992065,0.1966663361701746
m6,6,100,random,28,0.07,0.11166666666666668,0.3883582644531298,0.18978733379299478
m6,6,100,random,29,0.08,0.09833333333333334,0.38314237218023567,0.1873840738709798
m6,6,100,random,30,0.09,0.11166666666666665,0.38213035266899736,0.17840963318591357
m6,6,100,random,31,0.07,0.11,0.4172792681262041,0.20624232507693682
m6,6,100,random,32,0.09,0.10833333333333332,0.4001163515476114,0.1890173790448029
m6,6,100,random,33,0.07,0.09666666666666666,0.3921472845698264,0.19984306393250223
m6,6,100,random,34,0.06,0.09833333333333333,0.40052773615224596,0.20195054076250257
m6,6,100,random,35,0.05,0.10166666666666667,0.40379176316023946,0.18071237798471565
m6,6,100,random,36,0.1,0.11666666666666668,0.37674531724528054,0.17603530904901066
m6,6,100,random,37,0.06,0.09000000000000001,0.4010699038904038,0.19883994584581735
m6,6,100,random,38,0.1,0.11833333333333335,0.39275214986150847,0.20502246159249837
m6,6,100,random,39,0.09,0.105,0.4057068056574084,0.20423412057040066
m6,6,100,random,40,0.06,0.08666666666666667,0.40865629678647086,0.20111916985385866
m6,6,100,random,41,0.07,0.09333333333333334,0.4009301970970534,0.20153804647198664
m6,6,100,random,42,0.08,0.11166666666666668,0.3878702843092523,0.1937265531689315
m6,6,100,random,43,0.08,0.11166666666666665,0.3831257390976761,0.17210995168446094
m6,6,100,random,44,0.08,0.09666666666666666,0.3883855992150718,0.19824033355317536
m6,6,100,random,45,0.04,0.075,0.4108884468831617,0.2177501351355454
m6,6,100,random,46,0.07,0.105,0.3849916119949115,0.19212996302910101
m6,6,100,random,47,0.06,0.09333333333333334,0.4142097990219486,0.20795006323439655
m6,6,100,random,48,0.06,0.09166666666666667,0.39384602901733556,0.19814519392792704
m6,6,100,random,49,0.09,0.11833333333333333,0.37959284583025643,0.172463946346198
m6,6,150,lhs_nn,0,0.17333333333333334,0.27444444444444444,0.19804287643805038,0.040591240581511624
m6,6,150,lhs_nn,1,0.19333333333333333,0.27,0.20524940449675522,0.048051612647686336
m6,6,150,lhs_nn,2,0.22,0.2811111111111111,0.20361632216154046,0.047814548189560324
m6,6,150,lhs_nn,3,0.2,0.2822222222222222,0.2001439889053245,0.04486375341142925
m6,6,150,lhs_nn,4,0.18,0.2588888888888889,0.21081158415465265,0.04623661883739647
m6,6,150,lhs_nn,5,0.19333333333333333,0.2622222222222222,0.2176244974543108,0.04983171729156496
m6,6,150,lhs_nn,6,0.20666666666666667,0.2811111111111111,0.19142412987506996,0.041386139060405676
m6,6,150,lhs_nn,7,0.18,0.2644444444444444,0.2055621086239078,0.05013426337123233
m6,6,150,lhs_nn,8,0.18,0.27111111111111114,0.19911185077453375,0.043742349454615366
m6,6,150,lhs_nn,9,0.2,0.2688888888888889,0.20216552182303604,0.04462318609924597
m6,6,150,random,0,0.08,0.09666666666666666,0.3814880434686357,0.18718276503105302
m6,6,150,random,1,0.11333333333333333,0.12666666666666668,0.3726506995968944,0.1767973145320567
m6,6,150,random,2,0.08666666666666667,0.09999999999999999,0.3898151278603878,0.1985371814306455
m6,6,150,random,3,0.07333333333333333,0.10000000000000002,0.3904290736283742,0.20568436607360685
m6,6,150,random,4,0.08666666666666667,0.10888888888888888,0.37236570615318837,0.18593118666734465
m6,6,150,random,5,0.08666666666666667,0.10333333333333332,0.3770620683363763,0.18507862772164
m6,6,150,random,6,0.03333333333333333,0.08666666666666667,0.3981204318081882,0.20342452031336097
m6,6,150,random,7,0.09333333333333334,0.10555555555555553,0.3922304253674242,0.1984401346957038
m6,6,150,random,8,0.06666666666666667,0.10555555555555557,0.38205620918689065,0.19352713726418141
m6,6,150,random,9,0.05333333333333334,0.0811111111111111,0.40686636820181166,0.21490138538620307
m6,6,150,random,10,0.08,0.10666666666666667,0.37478694915635585,0.18645246706212765
m6,6,150,random,11,0.08666666666666667,0.09777777777777778,0.4012630752480942,0.19242464424340244
m6,6,150,random,12,0.1,0.11555555555555556,0.38515482531042416,0.18667584049490107
m6,6,150,random,13,0.06666666666666667,0.08555555555555555,0.40643741621220464,0.21775550529209067
m6,6,150,random,14,0.06666666666666667,0.11333333333333334,0.3791268820735294,0.18886153505111822
