pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
half0,lhs_nn,9,100,1.0,99.0,0.039933745248089916,0.10088853354317885,0.07925602548632071,0.35755762291862503,0.3,0.86,0.306,0.21289024542760795,0.07925602548632071,0.3201959964686109,0.0,0.007
half0,lhs_assign,0,100,1.0,99.0,0.0557881623253761,0.09462420324414034,0.03821765591861782,0.41979619953805614,0.2825,0.83,0.28750000000000003,0.2030356919840508,0.03821765591861782,0.34637208558772203,0.0,0.007
half0,lhs_assign,1,100,1.0,99.0,0.04742896795010248,0.09800211768005807,0.07925602548632071,0.3579070648775729,0.31,0.91,0.297,0.20952839134628248,0.07925602548632071,0.31812690771915275,0.0,0.007
half0,lhs_assign,2,100,1.0,99.0,0.05628376033016786,0.09936573621487543,0.07709973083782216,0.34535476858082637,0.27249999999999996,0.78,0.309,0.21385558261367926,0.07709973083782216,0.2970045154772551,0.0,0.007
half0,lhs_assign,3,100,1.0,99.0,0.05034085103172371,0.0983403681051493,0.07644301822431596,0.3630722573269014,0.3,0.85,0.30524999999999997,0.20976742440206128,0.07644301822431596,0.3215767733241115,0.0,0.007
half0,lhs_assign,4,100,1.0,99.0,0.03884407701981066,0.1005427770879896,0.07709973083782216,0.3769362445421307,0.305,0.88,0.29925,0.207613496800476,0.07709973083782216,0.323459480603888,0.0,0.007
half0,lhs_assign,5,100,1.0,99.0,0.051004979587276525,0.0988129315817983,0.06340386222811119,0.33993217920933555,0.29000000000000004,0.85,0.303,0.20551794156344125,0.06340386222811119,0.3081091522154052,0.0,0.007
half0,lhs_assign,6,100,1.0,99.0,0.05547518382544713,0.09616156937167988,0.02574900060881033,0.3725588267500664,0.295,0.85,0.2745,0.21230280506871224,0.02574900060881033,0.3224860714187651,0.0,0.007
half0,lhs_assign,7,100,1.0,99.0,0.036929790495357384,0.1017510679725136,0.03821765591861782,0.3894257630957633,0.3,0.88,0.29774999999999996,0.20409023064401266,0.03821765591861782,0.32520857682800525,0.0,0.007
half0,lhs_assign,8,100,1.0,99.0,0.04521245411291245,0.09851994878686358,0.07888740183459717,0.3618742289660048,0.2925,0.87,0.2965,0.21688770602149912,0.07888740183459717,0.3071377975709672,0.0,0.007
half0,lhs_assign,9,100,1.0,99.0,0.04197032212874348,0.10074478270074726,0.07925602548632071,0.3575103945284415,0.3,0.87,0.305,0.21402134583357502,0.07925602548632071,0.3110830820233882,0.0,0.007
half0,maximin,0,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,1,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,2,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,3,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,4,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,5,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,6,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,7,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,8,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,maximin,9,100,1.0,99.0,0.10126179400624458,0.07414464375819033,0.22824477047962874,0.16324527067367406,0.2425,0.73,0.2085,0.27111717160790827,0.22824477047962874,0.15756008461152854,0.02,0.007
half0,eps_cell,0,100,1.0,99.0,0.09618147224692977,0.0862057744577064,0.10855260223872805,0.27073212481956377,0.2375,0.76,0.23349999999999999,0.22666551650745456,0.10855260223872805,0.23826498278577543,0.0,0.007
half0,eps_cell,1,100,1.0,99.0,0.09516244776678241,0.08771604619648253,0.10855260223872805,0.307477171379817,0.2425,0.77,0.23374999999999999,0.22495578174355768,0.10855260223872805,0.2714076787712379,0.0,0.007
half0,eps_cell,2,100,1.0,99.0,0.09149651656860366,0.08896687238180812,0.10855260223872805,0.2955858562123159,0.25,0.78,0.23625000000000002,0.22352240398355697,0.10855260223872805,0.26389797138299836,0.0,0.007
half0,eps_cell,3,100,1.0,99.0,0.0878687849780454,0.08820192692619,0.10855260223872805,0.2957649134148056,0.2525,0.79,0.248,0.22753555678590137,0.10855260223872805,0.25549940321698034,0.0,0.007
half0,eps_cell,4,100,1.0,99.0,0.0921246860852688,0.08894405564823343,0.11245233227252399,0.2721062902537954,0.25,0.78,0.241,0.22566864620444702,0.11245233227252399,0.2461822915130489,0.0,0.007
half0,eps_cell,5,100,1.0,99.0,0.09361173675759173,0.08601765906969312,0.11245233227252399,0.2953765696706507,0.255,0.8,0.241,0.22783766059247815,0.11245233227252399,0.2616432069768659,0.0,0.007
half0,eps_cell,6,100,1.0,99.0,0.0945495464431624,0.08675732877147195,0.10855260223872805,0.31077599095010133,0.2425,0.77,0.23625000000000002,0.22170709529168864,0.10855260223872805,0.2777157483212171,0.0,0.007
half0,eps_cell,7,100,1.0,99.0,0.09691256725039042,0.08738393908901594,0.10855260223872805,0.3021859856934118,0.245,0.77,0.233,0.2204446028409229,0.10855260223872805,0.26869497359283834,0.0,0.007
half0,eps_cell,8,100,1.0,99.0,0.09421935327653165,0.08686179480965883,0.10855260223872805,0.3011731485784595,0.2525,0.79,0.2445,0.2282471823740094,0.10855260223872805,0.2658464561368617,0.0,0.007
half0,eps_cell,9,100,1.0,99.0,0.09630868754350308,0.08600579607724594,0.10855260223872805,0.29170780860394613,0.245,0.77,0.239,0.22325130856753497,0.10855260223872805,0.2572811685390349,0.0,0.007
half1,random,0,100,1.0,99.0,0.3021278530512029,0.03434523823332228,0.033480104452480015,0.7038188456876235,0.08750000000000001,0.3,0.08574999999999999,0.15053152685227483,0.033480104452480015,0.6327755830531187,0.0,0.007
half1,random,1,100,1.0,99.0,0.28935061718502436,0.024727889937743597,0.04012450263343333,0.648787142934488,0.095,0.29,0.09874999999999999,0.14139898301888112,0.04012450263343333,0.5736118603948118,0.0,0.007
half1,random,2,100,1.0,99.0,0.2949525724051287,0.024474981450558077,0.030612846614723785,0.5413750335039976,0.1075,0.35,0.0955,0.15387055772096472,0.030612846614723785,0.5258770327699809,0.02,0.007
half1,random,3,100,1.0,99.0,0.2736553617228072,0.021006028823730472,0.0038854048730569,0.6493566646095998,0.11249999999999999,0.35,0.06075,0.14948435766482432,0.0038854048730569,0.5981074384631659,0.0,0.007
half1,random,4,100,1.0,99.0,0.2859061484397899,0.02460814794834631,0.0421727969346608,0.5227138144816453,0.0925,0.31,0.0905,0.1426528713753323,0.0421727969346608,0.5272157672488674,0.0,0.007
half1,random,5,100,1.0,99.0,0.2784596219052664,0.02100665247829567,0.035115205680744215,0.5219091013792609,0.10250000000000001,0.35,0.05974999999999999,0.14979201539017745,0.035115205680744215,0.4646350025561542,0.01,0.007
half1,random,6,100,1.0,99.0,0.2971684719235677,0.03077163185846237,0.05578690591730188,0.4657167302907118,0.0925,0.31,0.07875,0.1415173068789976,0.05578690591730188,0.4399478148185471,0.01,0.007
half1,random,7,100,1.0,99.0,0.2994901044155714,0.0237447499483793,0.02556719073224558,0.6260500042739194,0.0875,0.27,0.087,0.14966671664009504,0.02556719073224558,0.5673430967335843,0.01,0.007
half1,random,8,100,1.0,99.0,0.3166054185005701,0.0292705140930385,0.03075495604361127,0.618795437248515,0.065,0.24,0.07275,0.1368321029870463,0.03075495604361127,0.5487155925827951,0.0,0.007
half1,random,9,100,1.0,99.0,0.275595047558823,0.019073094973147908,0.037881280880667396,0.5146943206148864,0.10250000000000001,0.35,0.0825,0.16013451288558475,0.037881280880667396,0.4999048040540161,0.0,0.007
half1,lhs_nn,0,100,1.0,99.0,0.05252975218085807,0.09647318269137946,0.03286814487078217,0.3985594460254059,0.3125,0.86,0.26575,0.1977938443717161,0.03286814487078217,0.3395792456902953,0.0,0.007
half1,lhs_nn,1,100,1.0,99.0,0.043946430678614146,0.09777140497923742,0.06804360991416186,0.3426957845972016,0.34500000000000003,0.91,0.29325,0.21270081227916285,0.06804360991416186,0.2999821472460521,0.0,0.007
half1,lhs_nn,2,100,1.0,99.0,0.045284896865785,0.10098593092835365,0.06804360991416186,0.34834985571084065,0.335,0.87,0.29,0.20169614130609387,0.06804360991416186,0.31286405049714894,0.0,0.007
half1,lhs_nn,3,100,1.0,99.0,0.049358932913894496,0.0986219883408699,0.03286814487078217,0.3947923774169657,0.33,0.88,0.29325,0.20171966665865773,0.03286814487078217,0.3482197690334698,0.0,0.007
half1,lhs_nn,4,100,1.0,99.0,0.03776797238812449,0.10124551605504921,0.06804360991416186,0.39447204591183826,0.32999999999999996,0.89,0.29075,0.1986156544947821,0.06804360991416186,0.3467718180980493,0.0,0.007
