selector,seed,axis,ks_to_uniform,star_1d,max_gap,tail_share_p90
random,9,drought_peak_depth,0.33499172788607867,0.1869190735314774,0.11159994829024178,0.09
random,9,drought_onset_rate,0.5929658387949611,0.3917749936259267,0.2261033361986654,0.08
random,9,drought_recovery_rate,0.5507586175009833,0.3641045918547735,0.21918242913676333,0.05
random,9,flood_peak_magnitude,0.2950717049611995,0.17797848778236283,0.17899223322808178,0.12
random,9,flood_pulse_duration,0.43111111111111106,0.27663208172946413,0.11111111111111116,0.12
random,9,flood_rise_rate,0.2749385870461338,0.1793554406166069,0.0974793151611768,0.17
random,10,drought_deficit_volume,0.3587892053962628,0.2103361884627934,0.0754060506147195,0.11
random,10,drought_duration,0.30990001960399916,0.18970396452243718,0.07861203685551832,0.12
random,10,drought_peak_depth,0.30855613510230095,0.18933648937909203,0.1973705776617828,0.1
random,10,drought_onset_rate,0.6025829166824226,0.39954147338931045,0.25707514114550134,0.09
random,10,drought_recovery_rate,0.4561292461469173,0.3255964230135593,0.24359269030179254,0.11
random,10,flood_peak_magnitude,0.3286597287234042,0.1853445187737556,0.11823530374842406,0.1
random,10,flood_pulse_duration,0.4033333333333333,0.2620844741775794,0.11111111111111116,0.16
random,10,flood_rise_rate,0.3152119460573538,0.1854516039422019,0.1709085460530384,0.12
random,11,drought_deficit_volume,0.27870235356815404,0.17570274313457296,0.09237163124407854,0.16
random,11,drought_duration,0.24188002352479887,0.14008621333587878,0.058811997647520105,0.16
random,11,drought_peak_depth,0.3423225713720317,0.19370565873389162,0.22511982970863298,0.06
random,11,drought_onset_rate,0.5912447197111159,0.3878036834843528,0.2979844884421353,0.07
random,11,drought_recovery_rate,0.5005857764776152,0.33906947784881,0.13718848693955354,0.1
random,11,flood_peak_magnitude,0.31474974069627926,0.18247313895173572,0.09514078928615322,0.12
random,11,flood_pulse_duration,0.4177777777777778,0.2828798113233284,0.16666666666666663,0.07
random,11,flood_rise_rate,0.3242369823121972,0.1987368615842189,0.11968398228839405,0.14
random,12,drought_deficit_volume,0.33967623665788094,0.2055716466505464,0.1749457841547789,0.09
random,12,drought_duration,0.2987120172515192,0.18190946410118047,0.1176239952950403,0.1
random,12,drought_peak_depth,0.32085921721654664,0.18636053873185354,0.2609529156777274,0.11
random,12,drought_onset_rate,0.5372206035105587,0.37351342737058485,0.2149843715552242,0.12
random,12,drought_recovery_rate,0.4208395876514011,0.27957967897186964,0.19608524169236707,0.16
random,12,flood_peak_magnitude,0.3664082363409671,0.2142630821285973,0.210996830309234,0.07
random,12,flood_pulse_duration,0.42333333333333334,0.2651926855963947,0.11111111111111116,0.14
random,12,flood_rise_rate,0.350413068480825,0.2229976368087076,0.21288035074910194,0.09
random,13,drought_deficit_volume,0.39207258476018336,0.24376399347725258,0.11192128472695573,0.06
random,13,drought_duration,0.33910801803567925,0.21374603846018625,0.1372279945108803,0.08
random,13,drought_peak_depth,0.34336854071043443,0.2008450141861562,0.24027983454153212,0.07
random,13,drought_onset_rate,0.5962212263273772,0.40069309336716025,0.30453633073533426,0.09
random,13,drought_recovery_rate,0.5325650869471666,0.3475201372976797,0.242187172581787,0.07
random,13,flood_peak_magnitude,0.33323209532334774,0.18784581869760686,0.10311999468875976,0.12
random,13,flood_pulse_duration,0.43111111111111106,0.27525745524266304,0.2222222222222222,0.07
random,13,flood_rise_rate,0.3568230889185017,0.21309267283031175,0.2890356625671011,0.06
random,14,drought_deficit_volume,0.3258317931328252,0.21219108684465599,0.08990219119800724,0.11
random,14,drought_duration,0.2891080180356792,0.1827762383068556,0.0784159968633602,0.07
random,14,drought_peak_depth,0.354105434501954,0.19336664512085774,0.25075272639828494,0.07
random,14,drought_onset_rate,0.5529658387949612,0.3558853836145645,0.18815855234000844,0.14
random,14,drought_recovery_rate,0.5433506095220134,0.3429985226826516,0.2202520336200503,0.07
random,14,flood_peak_magnitude,0.353026194836737,0.19142991645465463,0.1729592488521986,0.14
random,14,flood_pulse_duration,0.39555555555555555,0.25028378954427494,0.11111111111111116,0.11
random,14,flood_rise_rate,0.3344622217641686,0.21900893837490734,0.16708197018329396,0.1
random,15,drought_deficit_volume,0.3254639477872294,0.19252036897323177,0.1412579115972874,0.15
random,15,drought_duration,0.320692021172319,0.17681193186482214,0.11782003528719842,0.08
random,15,drought_peak_depth,0.31426113796397626,0.17235655073335182,0.11330658267774629,0.12
random,15,drought_onset_rate,0.6114501025297633,0.3949551481693201,0.19260066002149379,0.1
random,15,drought_recovery_rate,0.547946228313964,0.35433314128890836,0.3209525657363488,0.07
random,15,flood_peak_magnitude,0.38540505053416735,0.2171142707220452,0.15475699861472236,0.08
random,15,flood_pulse_duration,0.4355555555555556,0.2758689973587184,0.11111111111111116,0.1
random,15,flood_rise_rate,0.36962279288951594,0.23241038378361215,0.3198092664525932,0.06
random,16,drought_deficit_volume,0.4167071806862982,0.23559486459725532,0.1803530080643747,0.07
random,16,drought_duration,0.3891080180356792,0.22144218333438462,0.07861203685551832,0.08
random,16,drought_peak_depth,0.3144361295197054,0.17467954212272702,0.15038001633903253,0.18
random,16,drought_onset_rate,0.5451321021046116,0.36911816107770357,0.22655567622525408,0.12
random,16,drought_recovery_rate,0.4724882366743497,0.3200908850072219,0.16692304760760535,0.11
random,16,flood_peak_magnitude,0.42305658339054214,0.23549858527007286,0.21245002872965146,0.07
random,16,flood_pulse_duration,0.49777777777777776,0.33849704121835544,0.16666666666666663,0.05
random,16,flood_rise_rate,0.3899179997483698,0.21617637405668916,0.1832533424676387,0.07
random,17,drought_deficit_volume,0.3446710930880499,0.2145545612189309,0.08540650673843408,0.14
random,17,drought_duration,0.301088021956479,0.1877524514052347,0.0980199960792002,0.1
random,17,drought_peak_depth,0.30966773805566783,0.1850304917390276,0.1336711323315194,0.12
random,17,drought_onset_rate,0.5167680046362895,0.3522457197658666,0.2754564710361149,0.18
random,17,drought_recovery_rate,0.49214812076682196,0.3338405166475347,0.21374380251692893,0.1
random,17,flood_peak_magnitude,0.3538297298907639,0.21704745400213862,0.12029053721720095,0.08
random,17,flood_pulse_duration,0.42111111111111116,0.28816361950277297,0.16666666666666663,0.12
random,17,flood_rise_rate,0.37051949436064524,0.2276345689727898,0.11890199367686172,0.09
random,18,drought_deficit_volume,0.30508199974880756,0.18790249955347554,0.160159779656749,0.15
random,18,drought_duration,0.28069202117231906,0.1647696895858948,0.07861203685551832,0.13
random,18,drought_peak_depth,0.31758916606698784,0.18183012315137595,0.20571972887175427,0.09
random,18,drought_onset_rate,0.6124852232453715,0.39354896124027333,0.20134713438678625,0.06
random,18,drought_recovery_rate,0.5709124972004348,0.3663191402083992,0.20495705038680756,0.06
random,18,flood_peak_magnitude,0.41825436666753363,0.23837515156744118,0.14080208248128512,0.06
random,18,flood_pulse_duration,0.4255555555555556,0.28968586647361444,0.16666666666666663,0.07
random,18,flood_rise_rate,0.37646647118455245,0.2374681850586408,0.26419865540326604,0.07
random,19,drought_deficit_volume,0.280405197744095,0.17691023230370076,0.11955149575585788,0.15
random,19,drought_duration,0.310692021172319,0.15901234018113988,0.0784159968633602,0.13
random,19,drought_peak_depth,0.30156541752779087,0.16206336782604577,0.08032577406107733,0.11
random,19,drought_onset_rate,0.5814339714152097,0.3866408807519152,0.3032541868626266,0.1
random,19,drought_recovery_rate,0.47243925716511687,0.33309079038598,0.2461925639003495,0.11
random,19,flood_peak_magnitude,0.33477266594064936,0.20422556434335443,0.1125685217648027,0.1
random,19,flood_pulse_duration,0.42000000000000004,0.2709243436828838,0.11111111111111116,0.08
random,19,flood_rise_rate,0.3810955753461887,0.2295281975414809,0.12941969313800605,0.08
random,20,drought_deficit_volume,0.28990295315258036,0.1876772517826646,0.12665538494224626,0.14
random,20,drought_duration,0.23831601646735928,0.13828149173087692,0.0588119976475201,0.18
random,20,drought_peak_depth,0.3259167032170734,0.19376358310817623,0.1499207736029604,0.12
random,20,drought_onset_rate,0.6209877144796839,0.4030351993165385,0.18772515867804207,0.08
random,20,drought_recovery_rate,0.48086291589666835,0.32185783100406395,0.10532780848223222,0.1
random,20,flood_peak_magnitude,0.38495014909755637,0.22816774259282996,0.21034161259046935,0.06
random,20,flood_pulse_duration,0.4255555555555556,0.272532702760743,0.11111111111111116,0.11
random,20,flood_rise_rate,0.3861425766859875,0.22617457361599455,0.1512444756874366,0.05
random,21,drought_deficit_volume,0.422340464203882,0.25858739729939356,0.10566970273736587,0.09
random,21,drought_duration,0.3891080180356792,0.22783022675969775,0.1568319937267203,0.07
random,21,drought_peak_depth,0.31526054066443576,0.1925704461127638,0.14059225790631524,0.13
random,21,drought_onset_rate,0.5649202951070746,0.3804704744921653,0.17966706836075597,0.11
random,21,drought_recovery_rate,0.5009750157497475,0.3392797247395178,0.3312300878812954,0.12
random,21,flood_peak_magnitude,0.3560381023054889,0.20382748062448008,0.13013552786561178,0.11
random,21,flood_pulse_duration,0.4255555555555556,0.2775765938116892,0.16666666666666663,0.08
random,21,flood_rise_rate,0.3510149102736849,0.20931482824755615,0.13446412304168898,0.08
random,22,drought_deficit_volume,0.4211831706376065,0.244982749344591,0.20034855571066978,0.07
random,22,drought_duration,0.41029602038815915,0.23107509659218603,0.1568319937267203,0.05
random,22,drought_peak_depth,0.2931669791838176,0.17489242987236173,0.1053488313781521,0.15
random,22,drought_onset_rate,0.5791499184072186,0.36621045376944983,0.15703655914795916,0.1
random,22,drought_recovery_rate,0.5239081344189389,0.331865695257831,0.1112622056120085,0.11
random,22,flood_peak_magnitude,0.31514121792403793,0.18879617564680384,0.1252652827102383,0.1
random,22,flood_pulse_duration,0.4177777777777778,0.27311192477955026,0.11111111111111116,0.11
random,22,flood_rise_rate,0.2816706639292327,0.17952803857352048,0.10964749701574716,0.15
random,23,drought_deficit_volume,0.32137645512214885,0.20222417266364096,0.14320403803049464,0.1
random,23,drought_duration,0.2818800235247989,0.16234186971760983,0.09821603607135843,0.11
random,23,drought_peak_depth,0.34390946759936336,0.19748584544026465,0.1121737847815415,0.11
random,23,drought_onset_rate,0.6059294329479006,0.3762186034999513,0.13817210769822985,0.09
random,23,drought_recovery_rate,0.47409402931424244,0.32495427148318085,0.16610211565643918,0.1
random,23,flood_peak_magnitude,0.3808168544372491,0.2158227347674953,0.16570149886079655,0.13
random,23,flood_pulse_duration,0.4833333333333334,0.312564067506643,0.11111111111111116,0.09
random,23,flood_rise_rate,0.3461592050657743,0.21465278434353932,0.08439975015463352,0.1
random,24,drought_deficit_volume,0.3518436043116344,0.23031655754195493,0.18479163129961218,0.09
random,24,drought_duration,0.3402960203881591,0.2044647922797071,0.13742403450303842,0.07
random,24,drought_peak_depth,0.3548657721112289,0.21160232789079586,0.13586537889475558,0.06
random,24,drought_onset_rate,0.5671561553556883,0.3744388824055865,0.18631480302934167,0.08
random,24,drought_recovery_rate,0.49569533845806685,0.33705142888941775,0.2330740453426715,0.1
random,24,flood_peak_magnitude,0.29435100344442866,0.17486690549208417,0.0822021193840422,0.15
random,24,flood_pulse_duration,0.4066666666666667,0.26811642947250974,0.11111111111111116,0.11
random,24,flood_rise_rate,0.3578202846477622,0.21844691307598646,0.1571588533986713,0.1
random,25,drought_deficit_volume,0.35605113487283413,0.21548823978035658,0.17674794882155087,0.06
random,25,drought_duration,0.31029602038815907,0.18057342365021095,0.07861203685551832,0.1
random,25,drought_peak_depth,0.3399362431452194,0.19685699944209228,0.2962537761641266,0.08
random,25,drought_onset_rate,0.5649055474056535,0.36459842855464686,0.20946429004983025,0.08
random,25,drought_recovery_rate,0.5098646969235983,0.33916670530882315,0.1548927635604901,0.11
random,25,flood_peak_magnitude,0.2844229158120265,0.17515145104143678,0.06353488174886768,0.16
random,25,flood_pulse_duration,0.4255555555555556,0.2709459879663541,0.11111111111111116,0.08
random,25,flood_rise_rate,0.32321951409084404,0.19468512874939858,0.08699629900662575,0.16
random,26,drought_deficit_volume,0.3264879403592857,0.19390820075747625,0.14520522343469155,0.13
random,26,drought_duration,0.281088021956479,0.15679282659241597,0.1372279945108803,0.13
random,26,drought_peak_depth,0.3445281197752743,0.1993311791625026,0.1392142678807866,0.06
random,26,drought_onset_rate,0.5700904024112701,0.3712833527812833,0.16867398101563924,0.12
random,26,drought_recovery_rate,0.5149015411065314,0.3424555586457447,0.26904278266829984,0.1
random,26,flood_peak_magnitude,0.37094364269356217,0.21121046249961872,0.10962398260152761,0.07
random,26,flood_pulse_duration,0.4455555555555556,0.2984145347798964,0.16666666666666663,0.06
random,26,flood_rise_rate,0.35680355488747084,0.22148567213901116,0.2571046991202336,0.08
random,27,drought_deficit_volume,0.3640615139699507,0.2243882898434829,0.17972336714098158,0.07
random,27,drought_duration,0.31267202509311887,0.20426280311974293,0.1176239952950403,0.06
