pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,random,19,100,1.0,99.0,0.12064518138375838,0.006581500747409881,0.11293167120727572,0.3728287094178377,0.10750000000000001,0.56,0.0751875,0.3112257840166391,0.11293167120727571,0.3335313035534094,0.01,0.007
pool,random,20,100,1.0,99.0,0.12707393253947435,0.007079843940655306,0.09571736612115789,0.39939738357054616,0.10500000000000001,0.55,0.0865625,0.28903977567609485,0.0957173661211579,0.3825609054214386,0.01,0.007
pool,random,21,100,1.0,99.0,0.15118321535830467,0.00852789590300462,0.08554247426923299,0.43261255603031246,0.09875,0.49,0.0945,0.2748162190686196,0.08554247426923299,0.37906693989192575,0.0,0.007
pool,random,22,100,1.0,99.0,0.13280814458040685,0.008329416547487319,0.08369330196818742,0.46091637788622813,0.10500000000000001,0.5,0.09175,0.2948119074976121,0.08369330196818742,0.4240542884740334,0.0,0.007
pool,random,23,100,1.0,99.0,0.13440569708037298,0.011392016891489143,0.07871129952339583,0.3891361946517465,0.10375000000000001,0.52,0.0709375,0.2947624790468318,0.07871129952339583,0.35493966116167897,0.0,0.007
pool,random,24,100,1.0,99.0,0.1441332529055025,0.01138853187686931,0.10764094107505381,0.3912863424352945,0.095,0.49,0.06425,0.2950647408918861,0.10764094107505381,0.34869853366513537,0.02,0.007
pool,random,25,100,1.0,99.0,0.12052109429337184,0.006647225851314567,0.11262303781090283,0.380183917550346,0.10375000000000001,0.51,0.076125,0.2867135404383413,0.11262303781090283,0.3392706298457861,0.0,0.007
pool,random,26,100,1.0,99.0,0.13101687378589869,0.007742553898128713,0.1013917308532108,0.4155493618948797,0.09375,0.52,0.0686875,0.28612143131450163,0.10139173085321082,0.3784886843896977,0.0,0.007
pool,random,27,100,1.0,99.0,0.1346923700497166,0.009981441933218248,0.059617774188915076,0.42462046832369704,0.08750000000000001,0.46,0.0688125,0.2821012967403116,0.05961777418891508,0.38796640197610904,0.0,0.007
pool,random,28,100,1.0,99.0,0.13885487685131495,0.01136851397079213,0.13513644382249923,0.4320195000998479,0.11125000000000002,0.53,0.072375,0.2894929829781258,0.13513644382249923,0.4090826561250024,0.01,0.007
pool,random,29,100,1.0,99.0,0.11602755416647213,0.006099538000384347,0.1161551559835919,0.3556308386620244,0.11125,0.58,0.059625000000000004,0.31376052539073185,0.1161551559835919,0.3299340175395188,0.0,0.007
