pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,lhs_nn,1,100,1.0,99.0,0.026154743851176682,0.10043152688960716,0.07480714612080928,0.34652742420236443,0.36250000000000004,0.93,0.333625,0.21426997527019287,0.07480714612080928,0.31057564260408393,0.0,0.007
pool,lhs_nn,2,100,1.0,99.0,0.04156616434729636,0.10199482621825744,0.06406802247084459,0.4201770650018297,0.36,0.87,0.34325000000000006,0.2096231810123483,0.06406802247084459,0.36319521575060026,0.0,0.007
pool,lhs_nn,3,100,1.0,99.0,0.042552796502092954,0.09911918916474041,0.06844319451073187,0.3721889625601128,0.34750000000000003,0.88,0.32662500000000005,0.2077838287785096,0.06844319451073187,0.34533966448403486,0.0,0.007
pool,lhs_nn,4,100,1.0,99.0,0.03594647624684235,0.1020019456225028,0.06844319451073187,0.3810940746144213,0.36250000000000004,0.92,0.3435,0.2079819705030914,0.06844319451073187,0.3469367436415021,0.0,0.007
pool,lhs_nn,5,100,1.0,99.0,0.03065951847331853,0.10248011779418001,0.05995837380384016,0.4365879724645685,0.36,0.93,0.319,0.20587672566278634,0.05995837380384016,0.3675423425974481,0.0,0.007
pool,lhs_nn,6,100,1.0,99.0,0.03702007436411133,0.10024714486890506,0.04915707504825461,0.40393003258094073,0.35750000000000004,0.9,0.32275,0.20841474176203617,0.04915707504825461,0.3368265518136424,0.01,0.007
pool,lhs_nn,7,100,1.0,99.0,0.03121843101982593,0.10339636947521372,0.06844319451073187,0.41559715369870937,0.35500000000000004,0.93,0.3345,0.2005481543235435,0.06844319451073187,0.348036259119902,0.0,0.007
pool,lhs_nn,8,100,1.0,99.0,0.034256200934916915,0.10101739822366786,0.052114471335643744,0.35823326903269714,0.35250000000000004,0.93,0.318125,0.20861896454831722,0.052114471335643744,0.3015074591832994,0.0,0.007
pool,lhs_nn,9,100,1.0,99.0,0.028654033552544967,0.1027590030788654,0.0666196820902925,0.3438536185612501,0.35,0.91,0.33025,0.2154261575115529,0.0666196820902925,0.2896307846269162,0.0,0.007
pool,lhs_assign,0,100,1.0,99.0,0.03995212734801009,0.09765171886351888,0.07480714612080928,0.34725592123554383,0.335,0.85,0.306,0.21030701841231372,0.07480714612080928,0.3021258810489139,0.0,0.007
pool,lhs_assign,1,100,1.0,99.0,0.026431535704146396,0.10047163952707763,0.07480714612080928,0.3529875491825343,0.37,0.93,0.3345,0.2159986254680044,0.07480714612080928,0.31795123518137913,0.0,0.007
pool,lhs_assign,2,100,1.0,99.0,0.041454551999487735,0.10193863796170843,0.06406802247084459,0.3995974777704563,0.35000000000000003,0.87,0.33487500000000003,0.21609851962013055,0.06406802247084459,0.3427612419336555,0.0,0.007
pool,lhs_assign,3,100,1.0,99.0,0.044599522422643194,0.09911769404446771,0.06844319451073187,0.3893533538702953,0.3425,0.88,0.326625,0.20355719849853282,0.06844319451073187,0.3371938730478795,0.0,0.007
pool,lhs_assign,4,100,1.0,99.0,0.03860945245456148,0.10205506002722664,0.06844319451073187,0.39921432091080467,0.35500000000000004,0.92,0.33599999999999997,0.20662260085417827,0.06844319451073187,0.35489003234607963,0.0,0.007
pool,lhs_assign,5,100,1.0,99.0,0.03659437635357249,0.10239141447689754,0.030600239361153938,0.4447584898596116,0.35000000000000003,0.9,0.324875,0.20538997198240047,0.030600239361153938,0.3783627907448107,0.0,0.007
pool,lhs_assign,6,100,1.0,99.0,0.03740617476331563,0.10022181321969935,0.0666196820902925,0.3812958356121827,0.36000000000000004,0.91,0.31637499999999996,0.21194295691202145,0.0666196820902925,0.32834196970885715,0.01,0.007
pool,lhs_assign,7,100,1.0,99.0,0.03574943408083532,0.10332285799882657,0.06844319451073187,0.42313942918944886,0.355,0.92,0.3345,0.19760943650292773,0.06844319451073187,0.3579508321820082,0.0,0.007
pool,lhs_assign,8,100,1.0,99.0,0.035345935562637744,0.10099405698562305,0.052114471335643744,0.35918702641454164,0.345,0.92,0.321375,0.21444780242347175,0.052114471335643744,0.2977259500580576,0.0,0.007
pool,lhs_assign,9,100,1.0,99.0,0.03454564265602769,0.10257475584291514,0.0666196820902925,0.3386269669094827,0.34500000000000003,0.9,0.33175,0.21390269275307375,0.0666196820902925,0.2849375701292795,0.0,0.007
pool,maximin,0,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,1,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,2,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,3,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,4,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,5,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,6,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,7,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,8,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,maximin,9,100,1.0,99.0,0.07977652388166535,0.08206111453898246,0.2484113346168146,0.115189479716855,0.29000000000000004,0.79,0.24225000000000002,0.2848045091823013,0.2484113346168146,0.11036286033533199,0.02,0.007
pool,eps_cell,0,100,1.0,99.0,0.07749430051556296,0.09359374960388989,0.0983910651902272,0.26060806626522043,0.3075,0.85,0.271625,0.22918623553537412,0.0983910651902272,0.23252110108653737,0.0,0.007
pool,eps_cell,1,100,1.0,99.0,0.06951149579947945,0.09597244110504191,0.12312739997517606,0.24413755922415076,0.2975,0.84,0.280125,0.22890454234824084,0.12312739997517606,0.21391421975659802,0.0,0.007
pool,eps_cell,2,100,1.0,99.0,0.06687378361299796,0.09693027341644622,0.08360594792050363,0.27725017600161533,0.29250000000000004,0.84,0.30200000000000005,0.2272307105534013,0.08360594792050363,0.24760415320456539,0.0,0.007
