design,objective,solution_group,q05,q25,q50,q75,q95
hazard_filling_stationary,trenton_flow_reliability_annual,median,0.5224285714285715,0.6491836734693878,0.76,0.8263265306122449,0.8825306122448979
historic,downstream_flood_exceedance_annual,best,0.4349786773771656,0.7481688700968027,1.3293948178167696,2.079908864655104,3.172014860897196
historic,downstream_flood_exceedance_annual,median,0.3651255842352742,0.6468886560340512,1.146607449482477,1.7886673578548744,2.792150983389982
historic,montague_flow_deficit_p99_pct,best,37.2627345140246,37.32564355645029,37.325916690150734,37.62547759491868,39.7659871601213
historic,montague_flow_deficit_p99_pct,median,37.01953583515116,37.32564355645029,37.49977315583219,38.26640344811649,40.17609687736832
historic,montague_flow_reliability_annual,best,0.1721632653061224,0.2326530612244897,0.2938775510204081,0.3540816326530612,0.4383673469387755
historic,montague_flow_reliability_annual,median,0.2698367346938776,0.3628571428571429,0.4469387755102041,0.5242857142857142,0.6172653061224489
historic,nj_delivery_reliability_annual,best,0.6174285714285714,0.7224489795918367,0.8236734693877551,0.8851020408163265,0.930816326530612
historic,nj_delivery_reliability_annual,median,1.0,1.0,1.0,1.0,1.0
historic,nyc_delivery_deficit_p99_pct,best,18.730970394713488,18.7309703953213,18.730970395854847,18.73097039662244,18.73097039771954
historic,nyc_delivery_deficit_p99_pct,median,38.54257156644622,38.64582776909772,38.645827769379416,39.19926757298884,39.50115733648048
historic,nyc_delivery_reliability_annual,best,0.3118367346938775,0.4193877551020408,0.5208163265306123,0.613265306122449,0.7144489795918367
historic,nyc_delivery_reliability_annual,median,0.1183265306122449,0.1906122448979591,0.2587755102040816,0.326734693877551,0.4221224489795918
historic,nyc_storage_min_p01_pct,best,1.3542348126357584,11.601058380535694,18.782687256323683,23.65896713686179,27.61556603867776
historic,nyc_storage_min_p01_pct,median,6.988625383769263,15.339129345852845,20.871533377265827,25.509686030970588,29.092271055543165
historic,trenton_flow_reliability_annual,best,0.4064489795918367,0.5391836734693878,0.6485714285714286,0.7389795918367347,0.8277551020408164
historic,trenton_flow_reliability_annual,median,0.4471836734693877,0.5812244897959183,0.6975510204081633,0.7759183673469388,0.8508163265306121
